iter	Passed	Remaining
205	1941	7484
206	1950	7473
207	1960	7463
208	1969	7455
209	1980	7451
210	1990	7441
211	1998	7430
212	2007	7418
213	2016	7405
214	2024	7392
215	2033	7379
216	2042	7370
217	2051	7359
218	2060	7348
219	2069	7336
220	2078	7325
221	2086	7312
222	2095	7301
223	2103	7288
224	2112	7276
225	2120	7263
226	2129	7251
227	2137	7238
228	2146	7226
229	2154	7214
230	2163	7201
231	2171	7189
232	2180	7179
233	2189	7167
234	2198	7155
235	2206	7144
236	2215	7133
237	2224	7121
238	2233	7110
239	2242	7099
240	2252	7093
241	2261	7084
242	2270	7073
243	2279	7063
244	2289	7055
245	2298	7046
246	2308	7037
247	2317	7025
248	2327	7019
249	2337	7011
250	2347	7005
251	2357	6996
252	2366	6985
253	2374	6974
254	2383	6963
255	2393	6955
256	2403	6947
257	2411	6936
258	2420	6925
259	2429	6915
260	2438	6905
261	2448	6895
262	2456	6884
263	2465	6874
264	2475	6867
265	2484	6855
266	2494	6847
267	2503	6837
268	2512	6828
269	2522	6819
270	2531	6810
271	2541	6802
272	2549	6790
273	2559	6781
274	2568	6771
275	2577	6762
276	2593	6768
277	2603	6761
278	2612	6750
279	2621	6739
280	2630	6730
281	2641	6725
282	2650	6714
283	2659	6705
284	2668	6694
285	2677	6685
286	2686	6675
287	2697	6668
288	2708	6664
289	2717	6654
290	2728	6647
291	2738	6639
292	2747	6630
293	2757	6622
294	2767	6613
295	2777	6606
296	2790	6605
297	2802	6602
298	2813	6597
299	2824	6590
300	2834	6583
301	2845	6576
302	2854	6566
303	2863	6556
304	2873	6547
305	2882	6537
306	2892	6529
307	2902	6521
308	2912	6513
309	2924	6508
310	2933	6499
311	2943	6491
312	2952	6481
313	2966	6479
314	2977	6474
315	2986	6464
316	2997	6459
317	3008	6452
318	3017	6442
319	3027	6433
320	3037	6425
321	3046	6415
322	3056	6405
323	3066	6397
324	3075	6388
325	3085	6379
326	3094	6368
327	3103	6359
328	3112	6347
329	3121	6337
330	3130	6326
331	3139	6316
332	3148	6305
333	3156	6294
334	3165	6282
335	3173	6271
336	3182	6261
337	3190	6249
338	3199	6238
339	3207	6227
340	3216	6216
341	3228	6211
342	3238	6202
343	3247	6192
344	3256	6181
345	3265	6171
346	3273	6161
347	3282	6149
348	3291	6138
349	3299	6127
350	3307	6116
351	3316	6105
352	3325	6095
353	3334	6084
354	3342	6073
355	3351	6062
356	3360	6051
357	3369	6042
358	3378	6031
359	3388	6024
360	3397	6013
361	3405	6001
362	3414	5992
363	3423	5981
364	3432	5971
365	3441	5961
366	3449	5950
367	3458	5939
368	3466	5928
369	3475	5916
370	3483	5906
371	3493	5896
372	3502	5888
373	3511	5877
374	3520	5867
375	3528	5856
376	3537	5845
377	3545	5834
378	3554	5823
379	3562	5813
380	3571	5802
381	3579	5791
382	3588	5780
383	3597	5771
384	3606	5761
385	3615	5750
386	3624	5740
387	3632	5729
388	3641	5719
389	3650	5709
390	3658	5698
391	3667	5688
392	3676	5678
393	3685	5668
394	3693	5657
395	3702	5646
396	3710	5635
397	3718	5625
398	3727	5614
399	3736	5604
400	3744	5593
401	3755	5586
402	3764	5576
403	3773	5566
404	3782	5556
405	3790	5545
406	3798	5535
407	3807	5523
408	3815	5513
409	3823	5502
410	3833	5494
411	3842	5484
412	3853	5476
413	3863	5468
414	3873	5460
415	3882	5450
416	3891	5440
417	3900	5430
418	3908	5420
419	3917	5410
420	3926	5400
421	3935	5390
422	3944	5380
423	3952	5369
424	3960	5358
425	3969	5348
426	3978	5339
427	3988	5330
428	3997	5320
429	4006	5310
430	4015	5300
431	4024	5291
432	4033	5281
433	4042	5272
434	4051	5262
435	4060	5252
436	4069	5243
437	4078	5233
438	4087	5223
439	4096	5213
440	4105	5203
441	4113	5193
442	4122	5183
443	4130	5172
444	4139	5162
445	4148	5153
446	4156	5142
447	4165	5132
448	4174	5122
449	4182	5112
450	4191	5102
451	4200	5092
452	4209	5082
453	4217	5072
454	4226	5062
455	4234	5051
456	4243	5041
457	4251	5031
458	4260	5021
459	4268	5011
460	4277	5001
461	4286	4992
462	4299	4986
463	4310	4979
464	4320	4970
465	4328	4960
466	4337	4950
467	4346	4940
468	4355	4931
469	4364	4921
470	4372	4911
471	4382	4902
472	4391	4892
473	4400	4882
474	4408	4872
475	4417	4862
476	4426	4852
477	4434	4843
478	4443	4833
479	4452	4823
480	4460	4813
481	4469	4803
482	4477	4793
483	4487	4784
484	4497	4776
485	4507	4766
486	4515	4756
487	4524	4746
488	4532	4736
489	4540	4726
490	4549	4716
491	4558	4707
492	4568	4698
493	4577	4688
494	4586	4678
495	4595	4669
496	4604	4660
497	4614	4651
498	4622	4641
499	4632	4632
500	4641	4622
501	4650	4612
502	4658	4602
503	4667	4593
504	4677	4584
505	4686	4575
506	4695	4565
507	4704	4555
508	4713	4546
509	4721	4536
510	4730	4526
511	4741	4518
512	4750	4509
513	4759	4500
514	4768	4490
515	4777	4481
516	4786	4471
517	4794	4461
518	4803	4451
519	4811	4441
520	4821	4432
521	4829	4422
522	4838	4413
523	4847	4403
524	4856	4394
525	4866	4385
526	4875	4375
527	4885	4367
528	4895	4359
529	4906	4351
530	4916	4342
531	4926	4333
532	4935	4324
533	4944	4314
534	4952	4304
535	4961	4295
536	4971	4286
537	4981	4277
538	4990	4267
539	4999	4258
540	5009	4250
541	5019	4241
542	5029	4233
543	5038	4223
544	5048	4214
545	5058	4205
546	5068	4197
547	5077	4188
548	5086	4178
549	5096	4169
550	5105	4160
551	5114	4150
552	5123	4141
553	5132	4131
554	5141	4122
555	5150	4113
556	5159	4103
557	5168	4094
558	5177	4084
559	5186	4075
560	5196	4066
561	5205	4056
562	5214	4047
563	5223	4037
564	5232	4028
565	5241	4019
566	5252	4010
567	5264	4003
568	5278	3998
569	5288	3989
570	5298	3981
571	5307	3971
572	5316	3962
573	5325	3952
574	5334	3942
575	5343	3933
576	5353	3924
577	5366	3917
578	5377	3910
579	5390	3903
580	5401	3895
581	5412	3887
582	5421	3877
583	5431	3868
584	5440	3859
585	5449	3850
586	5460	3842
587	5471	3833
588	5481	3825
589	5491	3815
590	5499	3806
591	5509	3796
592	5518	3787
593	5527	3778
594	5537	3768
595	5545	3759
596	5554	3749
597	5562	3739
598	5574	3731
599	5583	3722
600	5594	3713
601	5604	3705
602	5612	3695
603	5621	3685
604	5629	3675
605	5639	3666
606	5647	3656
607	5656	3647
608	5665	3637
609	5676	3629
610	5687	3620
611	5697	3612
612	5706	3602
613	5714	3592
614	5723	3583
615	5731	3573
616	5740	3563
617	5749	3553
618	5757	3543
619	5766	3534
620	5775	3524
621	5784	3515
622	5792	3505
623	5801	3495
624	5811	3486
625	5819	3477
626	5828	3467
627	5836	3457
628	5845	3447
629	5853	3437
630	5861	3428
631	5870	3418
632	5879	3408
633	5888	3399
634	5897	3389
635	5906	3380
636	5915	3370
637	5923	3360
638	5934	3352
639	5943	3343
640	5954	3334
641	5964	3325
642	5974	3317
643	5984	3307
644	5992	3298
645	6000	3288
646	6009	3278
647	6017	3268
648	6026	3259
649	6034	3249
650	6043	3239
651	6052	3230
652	6062	3221
653	6071	3212
654	6080	3202
655	6088	3192
656	6097	3183
657	6107	3174
658	6116	3165
659	6126	3155
660	6134	3146
661	6143	3136
662	6152	3127
663	6161	3117
664	6169	3108
665	6178	3098
666	6186	3088
667	6195	3079
668	6203	3069
669	6212	3059
670	6221	3050
671	6229	3040
672	6237	3030
673	6246	3021
674	6255	3012
675	6264	3002
676	6273	2993
677	6282	2983
678	6290	2974
679	6300	2964
680	6309	2955
681	6319	2946
682	6329	2937
683	6339	2928
684	6349	2919
685	6358	2910
686	6367	2900
687	6375	2891
688	6384	2881
689	6393	2872
690	6402	2863
691	6411	2853
692	6420	2844
693	6429	2834
694	6438	2825
695	6448	2816
696	6457	2807
697	6468	2798
698	6477	2789
699	6486	2779
700	6494	2770
701	6503	2760
702	6512	2751
703	6523	2742
704	6533	2733
705	6542	2724
706	6551	2715
707	6561	2706
708	6570	2696
709	6580	2687
710	6590	2678
711	6600	2669
712	6610	2660
713	6621	2652
714	6630	2642
715	6639	2633
716	6648	2624
717	6659	2615
718	6669	2606
719	6679	2597
720	6689	2588
721	6698	2579
722	6708	2570
723	6717	2560
724	6726	2551
725	6736	2542
726	6745	2532
727	6755	2523
728	6764	2514
729	6773	2505
730	6782	2495
731	6791	2486
732	6801	2477
733	6810	2468
734	6819	2458
735	6828	2449
736	6838	2440
737	6847	2431
738	6857	2421
739	6866	2412
740	6874	2402
741	6884	2393
742	6893	2384
743	6902	2375
744	6912	2365
745	6925	2358
746	6937	2349
747	6947	2340
748	6957	2331
749	6967	2322
750	6976	2313
751	6986	2304
752	6997	2295
753	7007	2286
754	7019	2277
755	7031	2269
756	7040	2260
757	7050	2250
758	7061	2242
759	7071	2232
760	7079	2223
761	7088	2213
762	7096	2204
763	7105	2194
764	7114	2185
765	7123	2175
766	7131	2166
767	7140	2156
768	7149	2147
769	7157	2137
770	7165	2128
771	7174	2119
772	7184	2109
773	7194	2100
774	7203	2091
775	7212	2081
776	7221	2072
777	7231	2063
778	7241	2054
779	7252	2045
780	7263	2036
781	7274	2027
782	7284	2018
783	7293	2009
784	7303	2000
785	7313	1991
786	7323	1981
787	7332	1972
788	7341	1963
789	7351	1954
790	7359	1944
791	7370	1935
792	7379	1926
793	7388	1917
794	7398	1907
795	7406	1898
796	7416	1888
797	7425	1879
798	7434	1870
799	7444	1861
800	7454	1852
801	7464	1842
802	7473	1833
803	7483	1824
804	7492	1814
805	7501	1805
806	7509	1796
807	7518	1786
808	7528	1777
809	7538	1768
810	7550	1759
811	7561	1750
812	7571	1741
813	7581	1732
814	7590	1723
815	7599	1713
816	7609	1704
817	7617	1694
818	7626	1685
819	7634	1675
820	7644	1666
821	7654	1657
822	7663	1648
823	7672	1638
824	7682	1629
825	7691	1620
826	7699	1610
827	7708	1601
828	7717	1591
829	7726	1582
830	7735	1573
831	7743	1563
832	7752	1554
833	7760	1544
834	7769	1535
835	7777	1525
836	7786	1516
837	7795	1506
838	7803	1497
839	7812	1488
840	7821	1478
841	7829	1469
842	7839	1459
843	7848	1450
844	7857	1441
845	7866	1431
846	7875	1422
847	7884	1413
848	7893	1403
849	7903	1394
850	7912	1385
851	7921	1376
852	7931	1366
853	7940	1357
854	7950	1348
855	7960	1339
856	7970	1330
857	7981	1320
858	7991	1311
859	8000	1302
860	8011	1293
861	8020	1284
862	8030	1274
863	8042	1265
864	8052	1256
865	8064	1247
866	8074	1238
867	8085	1229
868	8094	1220
869	8103	1210
870	8113	1201
871	8123	1192
872	8132	1183
873	8143	1174
874	8154	1164
875	8164	1155
876	8173	1146
877	8183	1137
878	8192	1127
879	8202	1118
880	8211	1109
881	8221	1099
882	8230	1090
883	8239	1081
884	8249	1071
885	8258	1062
886	8267	1053
887	8276	1043
888	8285	1034
889	8293	1025
890	8302	1015
891	8311	1006
892	8321	997
893	8330	987
894	8339	978
895	8348	968
896	8356	959
897	8365	950
898	8375	940
899	8384	931
900	8392	922
901	8401	912
902	8410	903
903	8419	894
904	8427	884
905	8436	875
906	8446	866
907	8455	856
908	8464	847
909	8472	837
910	8481	828
911	8489	819
912	8498	809
913	8506	800
914	8516	791
915	8527	781
916	8535	772
917	8545	763
918	8554	754
919	8564	744
920	8573	735
921	8585	726
922	8594	716
923	8603	707
924	8613	698
925	8622	689
926	8632	679
927	8641	670
928	8650	661
929	8660	651
930	8669	642
931	8679	633
932	8688	623
933	8697	614
934	8706	605
935	8717	596
936	8726	586
937	8736	577
938	8745	568
939	8755	558
940	8764	549
941	8773	540
942	8783	530
943	8792	521
944	8802	512
945	8812	503
946	8820	493
947	8830	484
948	8839	475
949	8848	465
950	8858	456
951	8867	447
952	8875	437
953	8884	428
954	8893	419
955	8902	409
956	8910	400
957	8919	391
958	8928	381
959	8938	372
960	8948	363
961	8956	353
962	8965	344
963	8973	335
964	8982	325
965	8991	316
966	8999	307
967	9008	297
968	9016	288
969	9026	279
970	9034	269
971	9043	260
972	9052	251
973	9062	241
974	9070	232
975	9080	223
976	9091	214
977	9102	204
978	9113	195
979	9123	186
980	9134	176
981	9143	167
982	9153	158
983	9162	148
984	9172	139
985	9181	130
986	9191	121
987	9200	111
988	9209	102
989	9218	93
990	9228	83
991	9237	74
992	9246	65
993	9254	55
994	9263	46
995	9273	37
996	9282	27
997	9290	18
998	9299	9
999	9308	0
