fold,auc,sensitivity,specificity,ppv,npv,accuracy,f1,threshold
0,0.8364950316169828,0.9512195121951219,0.5925925925925926,0.639344262295082,0.9411764705882353,0.7473684210526316,0.7647058823529411,0.25578408274089837
1,0.8935185185185185,0.9,0.8518518518518519,0.8181818181818182,0.92,0.8723404255319149,0.8571428571428571,0.4120352023277871
2,0.8361111111111111,0.775,0.7777777777777778,0.7209302325581395,0.8235294117647058,0.776595744680851,0.7469879518072289,0.5580330946833136
3,0.7722222222222223,0.775,0.7592592592592593,0.7045454545454546,0.82,0.7659574468085106,0.7380952380952381,0.5169808729060525
4,0.9116428900138058,0.8048780487804879,0.9056603773584906,0.868421052631579,0.8571428571428571,0.8617021276595744,0.8354430379746836,0.4991207307398389
